trial,latent_dim,conv_filters,resolved_filters,dense_units,lr,num_layers,best_val_binary_acc,best_val_recon_loss,best_val_loss,epochs_run
170,32,"(32, 64, 128)","(32, 64, 128)",64,0.0001,3,0.9398436546325684,0.00022971752332523465,0.3675018846988678,159
171,32,"(32, 64, 128)","(32, 64, 128, 256)",64,0.0001,4,0.9394686818122864,0.00023982561833690852,0.3798998296260834,106
172,32,"(32, 64, 128)","(32, 64)",128,0.01,2,0.9240365624427795,0.0002673963026609272,0.4371790289878845,22
173,32,"(32, 64, 128)","(32, 64, 128)",128,0.01,3,0.902835488319397,0.00040681491373106837,0.6255574822425842,53
174,32,"(32, 64, 128)","(32, 64, 128, 256)",128,0.01,4,0.8914993405342102,0.0007260097772814333,0.9571824669837952,23
175,32,"(32, 64, 128)","(32, 64)",128,0.001,2,0.9352717399597168,0.0002295145095558837,0.38002049922943115,24
176,32,"(32, 64, 128)","(32, 64, 128)",128,0.001,3,0.9407955408096313,0.0002153338718926534,0.35038450360298157,38
177,32,"(32, 64, 128)","(32, 64, 128, 256)",128,0.001,4,0.9426560401916504,0.00022688557510264218,0.3707883358001709,30
178,32,"(32, 64, 128)","(32, 64)",128,0.0001,2,0.9350697994232178,0.00024257988843601197,0.39309006929397583,141
179,32,"(32, 64, 128)","(32, 64, 128)",128,0.0001,3,0.9416608810424805,0.00022382066526915878,0.35821405053138733,155
180,32,"(32, 64, 128)","(32, 64, 128, 256)",128,0.0001,4,0.9431319832801819,0.00022776389960199594,0.3588566780090332,115
181,32,"(64, 128, 256)","(64, 128)",16,0.01,2,0.9230702519416809,0.0002772744628600776,0.448659211397171,31
182,32,"(64, 128, 256)","(64, 128, 256)",16,0.01,3,0.8868264555931091,0.0005710194818675518,0.829030454158783,27
183,32,"(64, 128, 256)","(64, 128, 256, 512)",16,0.01,4,0.8823987245559692,0.0005425435956567526,0.7950137853622437,30
184,32,"(64, 128, 256)","(64, 128)",16,0.001,2,0.9349688291549683,0.00020717436564154923,0.35785698890686035,45
185,32,"(64, 128, 256)","(64, 128, 256)",16,0.001,3,0.9405215382575989,0.00020566936291288584,0.34640589356422424,41
186,32,"(64, 128, 256)","(64, 128, 256, 512)",16,0.001,4,0.9408532381057739,0.00021950301015749574,0.3610875904560089,32
187,32,"(64, 128, 256)","(64, 128)",16,0.0001,2,0.926661491394043,0.00020513062190730125,0.3755876123905182,159
188,32,"(64, 128, 256)","(64, 128, 256)",16,0.0001,3,0.9359062910079956,0.00021626117813866585,0.36354318261146545,102
195,32,"(64, 128, 256)","(64, 128, 256, 512)",32,0.001,4,0.9420647025108337,0.00021379909594543278,0.3534359931945801,44
196,32,"(64, 128, 256)","(64, 128)",32,0.0001,2,0.9260990023612976,0.00023268110817298293,0.4017113447189331,95
197,32,"(64, 128, 256)","(64, 128, 256)",32,0.0001,3,0.9371755123138428,0.0002219813468400389,0.3683215379714966,80
198,32,"(64, 128, 256)","(64, 128, 256, 512)",32,0.0001,4,0.9393677115440369,0.00023311762197408825,0.37868374586105347,58
199,32,"(64, 128, 256)","(64, 128)",64,0.01,2,0.9270797371864319,0.0002984651655424386,0.4600590467453003,33
200,32,"(64, 128, 256)","(64, 128, 256)",64,0.01,3,0.9249019026756287,0.017350930720567703,17.523788452148438,36
201,32,"(64, 128, 256)","(64, 128, 256, 512)",64,0.01,4,0.8893792629241943,0.00057492486666888,0.8105693459510803,34
202,32,"(64, 128, 256)","(64, 128)",64,0.001,2,0.9340313673019409,0.00022256032389122993,0.37370073795318604,21
203,32,"(64, 128, 256)","(64, 128, 256)",64,0.001,3,0.9404638409614563,0.00020932014740537852,0.3482367694377899,36
204,32,"(64, 128, 256)","(64, 128, 256, 512)",64,0.001,4,0.9431319832801819,0.000235457657254301,0.3781471252441406,29
205,32,"(64, 128, 256)","(64, 128)",64,0.0001,2,0.9341467618942261,0.00021733697212766856,0.3655356764793396,127
206,32,"(64, 128, 256)","(64, 128, 256)",64,0.0001,3,0.9372764229774475,0.00022067720419727266,0.3665205240249634,75
207,32,"(64, 128, 256)","(64, 128, 256, 512)",64,0.0001,4,0.9424685835838318,0.00021947514323983341,0.35459011793136597,72
208,32,"(64, 128, 256)","(64, 128)",128,0.01,2,0.9252048134803772,0.00030053709633648396,0.4741217792034149,41
209,32,"(64, 128, 256)","(64, 128, 256)",128,0.01,3,0.5112928152084351,0.013109864667057991,13.803935050964355,7
210,32,"(64, 128, 256)","(64, 128, 256, 512)",128,0.01,4,0.9254932403564453,0.000454423890914768,0.6398876905441284,46
211,32,"(64, 128, 256)","(64, 128)",128,0.001,2,0.9395552277565002,0.00021171003754716367,0.34949442744255066,37
212,32,"(64, 128, 256)","(64, 128, 256)",128,0.001,3,0.9390937089920044,0.00021392952476162463,0.3531322777271271,26
213,32,"(64, 128, 256)","(64, 128, 256, 512)",128,0.001,4,0.9425550699234009,0.00021952379029244184,0.36220523715019226,41
214,32,"(64, 128, 256)","(64, 128)",128,0.0001,2,0.9334256649017334,0.00021380855469033122,0.3632386326789856,113
